date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,latitude,longitude,District
2025-01-01,24.28,27.64,22.23,0.06,18.24,10.78,79.13,Thanjavur
2025-01-02,23.91,27.53,21.43,0.12,18.11,10.78,79.13,Thanjavur
2025-01-03,23.14,26.51,20.71,0.06,17.34,10.78,79.13,Thanjavur
2025-01-04,23.29,27.54,20.25,0.13,19.24,10.78,79.13,Thanjavur
2025-01-05,23.4,27.77,20.33,0.03,19.54,10.78,79.13,Thanjavur
2025-01-06,23.13,27.83,19.14,0.0,17.21,10.78,79.13,Thanjavur
2025-01-07,23.42,27.48,20.03,0.14,10.59,10.78,79.13,Thanjavur
2025-01-08,22.86,27.12,19.35,0.0,15.81,10.78,79.13,Thanjavur
2025-01-09,23.4,27.8,19.82,0.07,14.51,10.78,79.13,Thanjavur
2025-01-10,24.17,28.26,21.02,0.3,10.48,10.78,79.13,Thanjavur
2025-01-11,24.24,28.07,21.63,0.21,12.34,10.78,79.13,Thanjavur
2025-01-12,24.45,28.28,21.23,1.51,10.3,10.78,79.13,Thanjavur
2025-01-13,25.34,29.16,23.24,1.51,17.01,10.78,79.13,Thanjavur
2025-01-14,24.82,28.0,22.74,0.3,12.13,10.78,79.13,Thanjavur
2025-01-15,24.24,27.1,22.44,0.67,11.33,10.78,79.13,Thanjavur
2025-01-16,24.01,27.1,21.91,0.08,16.84,10.78,79.13,Thanjavur
2025-01-17,23.48,27.36,20.68,0.12,19.18,10.78,79.13,Thanjavur
2025-01-18,23.64,26.08,21.48,12.08,5.2,10.78,79.13,Thanjavur
2025-01-19,24.88,27.59,22.99,7.14,10.74,10.78,79.13,Thanjavur
2025-01-20,24.27,28.25,21.53,0.47,15.97,10.78,79.13,Thanjavur
2025-01-21,23.59,27.9,20.12,0.07,19.44,10.78,79.13,Thanjavur
2025-01-22,24.22,28.37,21.1,0.03,13.67,10.78,79.13,Thanjavur
2025-01-23,23.93,28.23,20.78,0.21,16.74,10.78,79.13,Thanjavur
2025-01-24,23.4,27.82,20.51,0.19,19.47,10.78,79.13,Thanjavur
2025-01-25,23.83,28.18,21.13,0.13,15.29,10.78,79.13,Thanjavur
2025-01-26,23.15,27.85,20.02,0.05,18.78,10.78,79.13,Thanjavur
2025-01-27,23.61,28.45,19.98,0.03,20.36,10.78,79.13,Thanjavur
2025-01-28,23.54,28.72,19.34,0.0,17.38,10.78,79.13,Thanjavur
2025-01-29,23.59,28.53,19.08,0.0,15.29,10.78,79.13,Thanjavur
2025-01-30,24.09,28.71,20.3,0.3,10.82,10.78,79.13,Thanjavur
2025-01-31,25.57,29.71,22.75,0.24,17.21,10.78,79.13,Thanjavur
2025-02-01,25.84,30.31,22.47,0.76,16.45,10.78,79.13,Thanjavur
2025-02-02,25.14,30.45,21.55,0.1,21.45,10.78,79.13,Thanjavur
2025-02-03,24.14,29.84,19.9,0.0,22.7,10.78,79.13,Thanjavur
2025-02-04,23.84,29.79,18.9,0.0,20.95,10.78,79.13,Thanjavur
2025-02-05,24.39,29.87,20.76,0.02,21.14,10.78,79.13,Thanjavur
2025-02-06,24.47,29.9,20.79,0.02,21.53,10.78,79.13,Thanjavur
2025-02-07,24.16,30.13,19.68,0.01,23.08,10.78,79.13,Thanjavur
2025-02-08,24.88,30.12,20.98,0.04,17.39,10.78,79.13,Thanjavur
2025-02-09,24.99,30.42,20.93,0.01,20.3,10.78,79.13,Thanjavur
2025-02-10,24.99,30.52,21.35,0.01,21.43,10.78,79.13,Thanjavur
2025-02-11,24.64,30.73,20.06,0.0,23.08,10.78,79.13,Thanjavur
2025-02-12,24.62,31.02,20.47,0.0,22.31,10.78,79.13,Thanjavur
2025-02-13,24.28,31.28,19.78,0.0,24.03,10.78,79.13,Thanjavur
2025-02-14,24.65,32.22,19.78,0.0,24.24,10.78,79.13,Thanjavur
2025-02-15,25.21,32.27,20.26,0.0,23.54,10.78,79.13,Thanjavur
2025-02-16,25.34,31.76,20.61,0.0,23.88,10.78,79.13,Thanjavur
2025-02-17,25.35,31.77,21.16,0.0,23.11,10.78,79.13,Thanjavur
2025-02-18,25.28,31.97,20.57,0.0,23.54,10.78,79.13,Thanjavur
2025-02-19,25.58,32.62,20.68,0.0,23.75,10.78,79.13,Thanjavur
2025-02-20,25.83,32.69,21.23,0.0,23.71,10.78,79.13,Thanjavur
2025-02-21,26.08,32.92,21.0,0.0,23.68,10.78,79.13,Thanjavur
2025-02-22,26.52,33.58,21.89,0.0,23.5,10.78,79.13,Thanjavur
2025-02-23,26.71,34.04,21.65,0.0,24.02,10.78,79.13,Thanjavur
2025-02-24,26.73,33.32,22.22,0.0,23.93,10.78,79.13,Thanjavur
2025-02-25,27.16,33.16,22.7,0.07,15.6,10.78,79.13,Thanjavur
2025-02-26,27.57,33.22,23.82,0.46,19.99,10.78,79.13,Thanjavur
2025-02-27,27.16,33.32,23.02,1.83,20.02,10.78,79.13,Thanjavur
2025-02-28,26.83,31.75,22.72,11.19,12.33,10.78,79.13,Thanjavur
2025-03-01,27.57,32.22,24.6,9.68,16.93,10.78,79.13,Thanjavur
2025-03-02,28.06,33.71,24.18,0.78,21.2,10.78,79.13,Thanjavur
2025-03-03,27.77,34.11,23.78,0.22,20.91,10.78,79.13,Thanjavur
2025-03-04,27.57,34.96,23.05,0.03,21.52,10.78,79.13,Thanjavur
2025-03-05,27.09,33.85,22.8,0.0,23.87,10.78,79.13,Thanjavur
2025-03-06,28.18,36.49,21.38,0.02,24.22,10.78,79.13,Thanjavur
2025-03-07,28.07,35.28,23.11,0.01,23.97,10.78,79.13,Thanjavur
2025-03-08,27.74,35.54,22.3,0.0,23.82,10.78,79.13,Thanjavur
2025-03-09,26.92,34.36,21.71,0.0,25.27,10.78,79.13,Thanjavur
2025-03-10,27.8,34.52,22.48,0.54,23.89,10.78,79.13,Thanjavur
