District,Season,Crop,Area (Ha),Production (Tonnes),Yield (Tonnes/Ha),bdod,cec,cfvo,clay,nitrogen,ocd,ocs,phh2o,sand,silt,soc,wv0010,wv0033,wv1500,Latitude,Longitude,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,latitude,longitude
Thiruvarur,Kharif,Rice,4818,16811.77,3.49,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Maize,2608,3978.48,1.53,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Sorghum,3831,7461.74,1.95,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Finger Millet,4611,10535.73,2.28,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Pearl Millet,1338,3596.57,2.69,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Foxtail Millet,2002,5859.69,2.93,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Groundnut,4967,7371.52,1.48,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Sunflower,1245,1874.03,1.51,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Sesame,2327,3460.2,1.49,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
Thiruvarur,Kharif,Cotton,3816,6150.99,1.61,131.5,295.5,68.66666666666667,354.0,207.0,206.5,53.0,67.66666666666667,312.0,334.0,439.5,369.3333333333333,307.3333333333333,209.83333333333334,10.76,79.83,19.140125,21.28040625,17.376718750000002,-6.65975,0.5579062499999999,10.76,79.83
