Depth,bdod,cec,cfvo,clay,nitrogen,ocd,ocs,phh2o,sand,silt,soc,wv0010,wv0033,wv1500,District,Latitude,Longitude
0-30cm,,,,,,,37.0,,,,,,,,Thanjavur,10.78,79.13
0-5cm,142.0,253.0,79.0,354.0,226.0,272.0,,72.0,360.0,286.0,279.0,345.0,280.0,169.0,Thanjavur,10.78,79.13
5-15cm,144.0,264.0,75.0,360.0,148.0,203.0,,73.0,345.0,295.0,151.0,347.0,283.0,173.0,Thanjavur,10.78,79.13
15-30cm,147.0,267.0,84.0,395.0,111.0,157.0,,73.0,331.0,273.0,166.0,346.0,287.0,179.0,Thanjavur,10.78,79.13
30-60cm,148.0,272.0,117.0,446.0,100.0,116.0,,74.0,287.0,266.0,60.0,353.0,317.0,204.0,Thanjavur,10.78,79.13
60-100cm,151.0,279.0,119.0,454.0,62.0,71.0,,76.0,282.0,263.0,44.0,351.0,312.0,206.0,Thanjavur,10.78,79.13
100-200cm,152.0,284.0,155.0,446.0,59.0,49.0,,76.0,296.0,259.0,42.0,350.0,317.0,210.0,Thanjavur,10.78,79.13
0-30cm,,,,,,,53.0,,,,,,,,Thiruvarur,10.76,79.83
0-5cm,129.0,307.0,58.0,328.0,384.0,369.0,,67.0,329.0,343.0,531.0,371.0,303.0,190.0,Thiruvarur,10.76,79.83
5-15cm,131.0,293.0,68.0,338.0,246.0,278.0,,67.0,322.0,340.0,399.0,373.0,306.0,190.0,Thiruvarur,10.76,79.83
15-30cm,135.0,288.0,57.0,358.0,171.0,209.0,,68.0,308.0,334.0,426.0,374.0,304.0,203.0,Thiruvarur,10.76,79.83
30-60cm,132.0,298.0,69.0,368.0,165.0,148.0,,68.0,304.0,328.0,445.0,377.0,307.0,225.0,Thiruvarur,10.76,79.83
60-100cm,131.0,294.0,79.0,365.0,140.0,129.0,,68.0,300.0,335.0,429.0,367.0,310.0,227.0,Thiruvarur,10.76,79.83
100-200cm,131.0,293.0,81.0,367.0,136.0,106.0,,68.0,309.0,324.0,407.0,354.0,314.0,224.0,Thiruvarur,10.76,79.83
0-30cm,,,,,,,53.0,,,,,,,,Mayiladuthurai,11.11,79.67
0-5cm,131.0,244.0,65.0,355.0,318.0,343.0,,66.0,312.0,333.0,363.0,387.0,316.0,196.0,Mayiladuthurai,11.11,79.67
5-15cm,135.0,237.0,72.0,368.0,229.0,266.0,,66.0,304.0,328.0,311.0,388.0,322.0,199.0,Mayiladuthurai,11.11,79.67
15-30cm,136.0,227.0,73.0,359.0,175.0,183.0,,67.0,299.0,342.0,227.0,386.0,323.0,209.0,Mayiladuthurai,11.11,79.67
30-60cm,140.0,229.0,96.0,360.0,128.0,140.0,,67.0,303.0,337.0,202.0,385.0,322.0,226.0,Mayiladuthurai,11.11,79.67
60-100cm,140.0,239.0,93.0,363.0,111.0,92.0,,67.0,294.0,343.0,100.0,383.0,319.0,231.0,Mayiladuthurai,11.11,79.67
100-200cm,141.0,241.0,102.0,358.0,85.0,99.0,,67.0,308.0,334.0,87.0,373.0,329.0,223.0,Mayiladuthurai,11.11,79.67
0-30cm,,,,,,,40.0,,,,,,,,Tiruvallur,13.13,80.01
0-5cm,134.0,252.0,61.0,320.0,266.0,269.0,,68.0,378.0,302.0,301.0,382.0,317.0,182.0,Tiruvallur,13.13,80.01
5-15cm,138.0,265.0,67.0,336.0,178.0,224.0,,68.0,356.0,309.0,159.0,382.0,313.0,186.0,Tiruvallur,13.13,80.01
15-30cm,140.0,263.0,64.0,374.0,159.0,183.0,,69.0,330.0,296.0,135.0,385.0,311.0,195.0,Tiruvallur,13.13,80.01
30-60cm,144.0,269.0,84.0,416.0,119.0,123.0,,71.0,301.0,283.0,72.0,386.0,327.0,214.0,Tiruvallur,13.13,80.01
60-100cm,147.0,264.0,93.0,428.0,98.0,80.0,,71.0,292.0,280.0,48.0,389.0,328.0,213.0,Tiruvallur,13.13,80.01
100-200cm,148.0,256.0,108.0,427.0,91.0,63.0,,72.0,301.0,272.0,36.0,389.0,330.0,207.0,Tiruvallur,13.13,80.01
0-30cm,,,,,,,41.0,,,,,,,,Tiruvannamalai,12.23,79.11
0-5cm,140.0,284.0,73.0,303.0,189.0,284.0,,69.0,374.0,323.0,330.0,381.0,273.0,191.0,Tiruvannamalai,12.23,79.11
5-15cm,141.0,295.0,71.0,316.0,146.0,232.0,,70.0,372.0,312.0,139.0,381.0,273.0,190.0,Tiruvannamalai,12.23,79.11
15-30cm,146.0,292.0,72.0,334.0,86.0,160.0,,70.0,368.0,299.0,110.0,384.0,279.0,199.0,Tiruvannamalai,12.23,79.11
30-60cm,144.0,286.0,98.0,390.0,76.0,107.0,,71.0,335.0,276.0,53.0,380.0,300.0,221.0,Tiruvannamalai,12.23,79.11
60-100cm,146.0,289.0,102.0,395.0,53.0,70.0,,72.0,323.0,282.0,44.0,381.0,302.0,218.0,Tiruvannamalai,12.23,79.11
100-200cm,147.0,280.0,128.0,391.0,46.0,58.0,,72.0,336.0,273.0,39.0,375.0,304.0,205.0,Tiruvannamalai,12.23,79.11
0-30cm,,,,,,,42.0,,,,,,,,Krishnagiri,12.74,77.83
0-5cm,137.0,222.0,193.0,287.0,142.0,268.0,,65.0,510.0,203.0,186.0,354.0,325.0,131.0,Krishnagiri,12.74,77.83
5-15cm,136.0,228.0,176.0,292.0,111.0,240.0,,64.0,503.0,205.0,106.0,353.0,329.0,136.0,Krishnagiri,12.74,77.83
15-30cm,138.0,228.0,202.0,362.0,83.0,158.0,,64.0,456.0,182.0,82.0,355.0,331.0,147.0,Krishnagiri,12.74,77.83
30-60cm,140.0,232.0,234.0,429.0,71.0,113.0,,64.0,402.0,169.0,76.0,348.0,332.0,174.0,Krishnagiri,12.74,77.83
60-100cm,141.0,240.0,251.0,423.0,51.0,76.0,,65.0,402.0,176.0,42.0,344.0,330.0,180.0,Krishnagiri,12.74,77.83
100-200cm,142.0,240.0,263.0,385.0,39.0,47.0,,66.0,407.0,208.0,36.0,339.0,330.0,182.0,Krishnagiri,12.74,77.83
0-30cm,,,,,,,35.0,,,,,,,,Dharmapuri,12.06,78.16
0-5cm,137.0,283.0,124.0,318.0,177.0,264.0,,69.0,403.0,280.0,247.0,369.0,300.0,173.0,Dharmapuri,12.06,78.16
